単語,ふりがな,Lao語,No,属性,,,,,,,,,
から,から,ຈາກ,1,助詞,,,,,,,,,
だけ,だけ,ເທົ່ານັ້ນ,4,助詞,,,,,,,,,
ため,ため,ແນ,5,助詞,,,,,,,,,
など,など,ເປັນຕົ້ນ.,2,助詞,,,,,,,,,
よりも,よりも,ກວ່າ,3,助詞,,,,,,,,,
上がる,あがる,ຂຶ້ນ,1,現象,,,,,,,,,
秋,あき ,ລະ​ດູປູກ​ໃໝ່,3,季節,,,,,,,,,
味,あじ ,ລົດ​ຊາດ,21,基礎単語,,,,,,,,,
与える,あたえる,ກະ​ຈາຍ​ປຸ່ຍ,5,動詞,,,,,,,,,
新しい,あたらしい,ໃຫມ່,1,形容詞,,,,,,,,,
扱う,あつかう,ໃຊ້,2,現象,,,,,,,,,
現れる,あらわれる,ປະ​ກົດ​ການ,3,現象,,,,,,,,,
あります,あります,ມີຢູ່　/　ແມ່ນແລ້ວ,4,現象,,,,,,,,,
ありません,ありません,ບໍ່ມີຢູ່ 　/　 ບໍ່ມີ,5,現象,,,,,,,,,
アルカリ性,あるかりせい,ເປັນດ່າງ,20,専門用語,,,,,,,,,
合わせる,あわせる,ກົງກັນ,7,動詞,,,,,,,,,
イグサ,いぐさ,ຫຍ້າທີ່ໃຊ້ສໍາລັບ tatami,17,作物の固有名詞,,,,,,,,,
移植栽培,いしょくさいばい,ການ​ປູກ​ຝັງ　ການ​ປູກ​ຖ່າຍ,3,農作業用語,,,,,,,,,
一時,いちじ,ຊົ່ວຄາວ,9,時間、頻度,,,,,,,,,
一度,いちど ,ຄັ້ງນຶ່ງ,10,時間、頻度,,,,,,,,,
一般的,いっぱんてき ,ການ​ທົ່ວ​ໄປ,11,時間、頻度,,,,,,,,,
稲作,いなさく ,ການ​ເຮັດ​ນາ,6,農作業用語,,,,,,,,,
稲藁,いなわら ,ເຟືອງເຂົ້າ,11,固有名詞,,,,,,,,,
入れる,いれる,ໃສ່,8,動詞,,,,,,,,,
植え付ける,うえつける,ປູກ,32,動詞,,,,,,,,,
植える,うえる,ປູກ,9,動詞,,,,,,,,,
畝立て,うねたて,ຂີ່,21,農作業用語,,,,,,,,,
栄養器官,えいようきかん,ອະໄວຍະວະທີ່ດູດຊຶມສານອາຫານ,12,植物の器官,,,,,,,,,
選ぶ,えらぶ,ເລືອກ,11,動詞,,,,,,,,,
エンジン,えんじん,ເຄື່ອງ​ຈັກ,7,固有名詞,,,,,,,,,
多い,おおい,ຫຼາຍ​,3,形容詞,,,,,,,,,
覆う,おおう,ກວມເອົາ,12,動詞,,,,,,,,,
多過ぎる,おおすぎる,ຫຼາຍ​ໂພດ,4,形容詞,,,,,,,,,
行う,おこなう,ປະ​ຕິ​ບັດ,13,動詞,,,,,,,,,ນອກຈາກນັ້ນ　ປຸ໋ຍ
遅い（行動）,おそい,ການເຄື່ອນໄຫວຊ້າ,12,形容詞,,,,,,,,,
遅い（時間）,おそい,ຊ້າ,7,時間、頻度,,,,,,,,,
遅く（行動）,おそく,ການເຄື່ອນໄຫວຊ້າ,13,形容詞,,,,,,,,,
遅く（時間）,おそく,ຊ້າ,8,時間、頻度,,,,,,,,,
同じ,おなじ,ຄື​ກັນ,16,形容詞,,,,,,,,,
主に,おもに,ສ່ວນ​ໃຫຍ່,12,時間、頻度,,,,,,,,,
終わった,おわった,ຈົບ,6,現象,,,,,,,,,
害虫,がいちゅう ,ແມງ​ໄມ້(ສັດ​ຕູ​ມືດ,7,専門用語,,,,,,,,,
改良,かいりょう ,ການປັບ​ປຸງ​,2,一般作業用語,,,,,,,,,
化学農薬,かがくのうやく ,ຢາເຄມີສໍາລັບຜັກ,11,専門用語,,,,,,,,,
化学肥料,かがくひりょう ,ປຸ່ຍ​ເຄ​ມີ,16,専門用語,,,,,,,,,
確認,かくにん ,ການ​ຢຶນ​ຢັນ,4,一般作業用語,,,,,,,,,
掛ける,かける,ຖອກ,6,動詞,,,,,,,,,
加工,かこう ,ການປຸງແຕ່ງ,1,一般作業用語,,,,,,,,,
果菜類,かさいるい ,ຜັກທີ່ມີລັກສະນະຄ້າຍຄືຫມາກໄມ້,3,野菜の分類,,,,,,,,,
果実,かじつ,ໝາກ​ໄມ້,7,植物の器官,,,,,,,,,
風,かぜ ,ລົມ,10,基礎単語,,,,,,,,,
ガソリン,がそりん,ນ້ຳ​ມັນ​​ກາ​ຊວນ,3,専門用語,,,,,,,,,
かならず,かならず,ແນ່​ນອນ,13,時間、頻度,,,,,,,,,
株元,かぶもと ,ຮອຍຕໍ່ລະຫວ່າງລຳຕົ້ນແລະຮາກ ,24,農作業用語,,,,,,,,,
カリウム,かりうむ,ໂພແທດຊຽມ,5,固有名詞,,,,,,,,,
変わる,かわる,ແຕກຕ່າງກັນ,7,現象,,,,,,,,,
間隔,かんかく ,ໄລຍະຫ່າງ,5,空間,,,,,,,,,
灌水,かんすい ,ງາມນ້ໍາ,23,農作業用語,,,,,,,,,
機械作業,きかいさぎょう ,ວຽກກົນຈັກ,3,一般作業用語,,,,,,,,,
気候,きこう ,ສະ​ພາບອາກ​າດ,6,季節,,,,,,,,,
季節,きせつ ,ລະດູ,5,季節,,,,,,,,,
北,きた ,ເໜືອ,4,方角,,,,,,,,,
キャベツ,きゃべつ,ຜັກ​ກະ​ລ່ຳ​ປີ,1,作物の固有名詞,,,,,,,,,
吸収,きゅうしゅう ,ການ​ເກັບ​ກ່ຽວ​ຜົນ​ຜະ​ລິດ,20,現象,,,,,,,,,
キュウリ,きゅうり,ໝາກ​ແຕງ,12,作物の固有名詞,,,,,,,,,
記録,きろく ,ຂຽນ,6,一般作業用語,,,,,,,,,
茎,くき,ກ້ານໃບ,3,植物の器官,,,,,,,,,
腐る,くさる,ສໍ້​ລາດ​ບັງ​ຫຼວງ,8,現象,,,,,,,,,
繰り返す,くりかえす,ຊ້ຳ,15,動詞,,,,,,,,,
黒,くろい,ດຳ,1,色,,,,,,,,,
加える,くわえる,"ໃສ່, ເພີ້ມ",16,動詞,,,,,,,,,
軽油,けいゆ ,ນ້ຳ​ມັນ​ເບົາ,2,専門用語,,,,,,,,,
原料,げんりょう ,ວັດສະດຸ,23,専門用語,,,,,,,,,
